nu,enu,nulnu,lnulnu,unulnu
9.3424,0.0000,37.5928,37.5928,37.5928
9.6990,0.0000,37.8556,37.8556,37.8556
9.9243,0.0000,37.8430,37.8426,37.8434
10.3483,0.0000,38.7319,38.7316,38.7323
17.3838,0.0000,41.4207,41.2745,41.5298
18.1239,0.0000,41.4513,41.4432,41.4591
18.8351,0.0000,41.7258,41.7172,41.7342
19.1072,0.0000,41.6649,41.6573,41.6723
19.4065,0.0000,41.8796,41.8731,41.8859
19.8021,0.0000,41.8969,41.8760,41.9169
