nu,enu,nulnu,lnulnu,unulnu
9.20411998265593,0,38.2729039049447,38.2729039049447,38.2729039049447
9.36172783601759,0,38.6687509241108,38.6097730641515,38.7206687233763
9.92427928606188,0,39.1479651683364,39.1040596826373,39.187836680374
10.3424226808222,0,39.3941732638122,39.3125032173608,39.4628890761816
10.9344984512436,0,39.6463009725392,39.3964234993226,39.8039088259008
11,0,40.2066525429757,40.1097425299676,40.2858337890233
11.3617278360176,0,40.8606364503498,40.842538228257,40.8780105464192
13.4149733479708,0.,41.0365992389173,41.0365992389173,41.0365992389173
13.4471580313422,0.,41.1775570411295,41.1775570411295,41.1775570411295
14.3926969532597,0,41.1072053679312,41.0617474941343,41.1483527582612
14.521138083704,0,41.1427639746505,41.0932786115706,41.187183114439
14.568201724067,0,40.8779735205884,40.7817479749906,40.9566978549875
14.6981005456234,0,40.8331489408558,40.807843075591,40.8570610982612
14.8007170782824,0,40.9243496685785,40.8634940655004,40.9777164974882
14.9508514588885,0,40.7113870285081,40.6760179417421,40.744091306536
15.0413926851582,0,40.6562851934458,40.6528789447539,40.6596649340971
15.103803720956,0,40.8691648344648,40.8643392905755,40.8739373493261
15.1335389083702,0,40.6746452024968,40.6665273122747,40.6826141321681
15.3138672203692,0,40.4385501001297,40.3932585908175,40.4795611556659
17.3838153659804,0.,40.2894379132921,40.2894379132921,40.2894379132921
18.3838153659804,0.,40.2532257406377,40.2532257406377,40.2532257406377
