nu,enu,nulnu,lnulnu,unulnu
9.14612804,0.,39.4577117,39.4577117,39.4577117
9.39794001,0.,39.72280211,39.72280211,39.72280211
9.69897,0.,39.95971461,39.95971461,39.95971461
10.17609126,0.,40.56607154,40.56607154,40.56607154
10.93550727,0.,41.35765462,41.33130717,41.38249465
11.35983548,0.,41.48871891,41.45393247,41.52092444
14.73239376,0.,40.97665303,40.97665303,40.97665303
17.68448743,0.,41.22806607,41.25568067,41.15088848
17.84418827,0.,41.31111051,41.32754605,41.26427607
17.96069384,0.,41.37169341,41.37997356,41.34699503
18.05246422,0.,41.419414,41.42127022,41.41215199
18.12818493,0.,41.45878877,41.45534455,41.4659137
18.19264292,0.,41.49230693,41.48435064,41.51167887
18.24875886,0.,41.52148722,41.50960281,41.55152119
18.29844665,0.,41.54732486,41.53196232,41.58679952
18.34302878,0.,41.57050757,41.55202428,41.61845283
18.38345744,0.,41.59153047,41.57021717,41.64715718
